1,delivered,79,17.8,1,Luziania,GO,728,50,201,2,5,02/10/17 10:56,02/10/17 11:07,10/10/17 21:25
2,delivered,119.9,27.16,1,Joinville,SC,892,50,511,3,5,24/07/18 20:41,26/07/18 3:24,07/08/18 15:27
3,delivered,519.99,41.69,1,Serra,ES,291,48,1156,2,1,08/08/18 8:38,08/08/18 8:55,17/08/18 18:06
4,delivered,29.5,17.92,1,RIO DE JANEIRO,RJ,222,21,207,2,4,18/11/17 19:28,18/11/17 19:45,02/12/17 0:28
5,delivered,26.77,23.11,1,Sao Paulo,SP,40,41,451,1,5,13/02/18 21:18,13/02/18 22:20,16/02/18 18:17
6,delivered,419.9,23.02,1,Santa Adelia,SP,159,46,692,3,5,09/07/17 21:57,09/07/17 22:10,26/07/17 10:57
7,delivered,65,16.21,1,Varginha,MG,370,47,893,3,5,11/04/17 12:22,13/04/17 13:25,13/04/17 13:25
8,delivered,29.99,19.82,1,Sao Paulo,SP,48,55,613,1,4,16/05/17 13:10,16/05/17 13:22,26/05/17 12:55
9,delivered,59.99,51.14,1,Carajas,PA,685,28,96,4,5,23/01/17 18:29,25/01/17 2:50,02/02/17 14:08
10,delivered,56.99,16.13,1,Resende,RJ,275,59,641,3,5,29/07/17 11:55,29/07/17 12:05,16/08/17 17:14
11,delivered,599,15.69,1,Guaratingueta,SP,125,43,1686,2,4,16/05/17 19:41,16/05/17 19:50,29/05/17 11:18
12,delivered,62,16.19,1,Tijucas,SC,882,50,285,1,4,13/07/17 19:58,13/07/17 20:10,19/07/17 14:04
13,delivered,250,35.02,1,Mirassol,SP,151,57,771,1,1,07/06/18 10:06,09/06/18 3:13,19/06/18 12:05
14,delivered,69.9,12.93,1,SAO PAULO,SP,82,57,427,1,4,25/07/18 17:44,25/07/18 17:55,30/07/18 15:52
15,delivered,250,16.5,1,Bage,RS,964,55,255,1,5,01/03/18 14:14,01/03/18 15:10,12/03/18 23:36
16,delivered,79.9,7.82,1,Cubatao,SP,115,33,484,3,3,07/06/18 19:03,12/06/18 23:31,21/06/18 15:34
17,delivered,32,19.41,1,Jaraguari,MS,794,57,529,4,4,02/01/18 19:00,02/01/18 19:09,20/01/18 1:38
18,delivered,287.7,15.37,1,Presidente Prudente,SP,190,45,3793,2,5,26/12/17 23:41,26/12/17 23:50,08/01/18 22:36
19,delivered,59.99,15.18,1,Cidade Ocidental,GO,728,44,1854,6,3,21/11/17 0:03,21/11/17 0:14,27/11/17 18:28
20,delivered,1200,60.76,1,Sao Lourenco do Sul,RS,961,55,3632,4,4,26/10/17 15:54,26/10/17 16:08,08/11/17 22:22
21,delivered,199,20.12,1,Sao Paulo,SP,55,33,579,1,5,18/09/17 14:31,19/09/17 4:04,09/10/17 22:23
22,delivered,49.39,16.11,1,BRASILIA,DF,703,35,210,1,2,15/03/18 8:52,15/03/18 9:09,19/03/18 18:08
23,delivered,100,17.95,1,Pindamonhangaba,SP,124,58,1141,4,5,03/02/18 20:37,03/02/18 20:50,08/02/18 16:13
24,delivered,139.99,15.74,1,Nova Iguacu,RJ,262,49,426,7,5,08/01/18 7:55,08/01/18 8:07,26/01/18 17:32
25,delivered,16.99,16.79,1,Vitoria,ES,290,45,176,2,5,09/08/18 11:44,10/08/18 3:24,13/08/18 18:24
26,delivered,36,36.46,2,Curitiba,PR,805,54,573,2,5,20/02/18 23:46,22/02/18 2:30,21/03/18 22:03
27,delivered,42.79,15.79,1,Vitoria,ES,290,60,266,2,5,04/06/18 0:00,05/06/18 0:35,16/06/18 15:20
28,delivered,249,26.47,1,Serrinha,BA,487,50,1014,1,1,12/03/18 1:50,12/03/18 3:28,21/03/18 14:41
29,delivered,494.99,20.71,1,Barra Mansa,RJ,273,52,927,1,1,02/05/18 11:45,03/05/18 12:55,16/05/18 20:56
30,delivered,28.9,15.79,1,Aparecida de Goiania,GO,749,51,220,2,3,25/02/18 13:50,25/02/18 14:47,27/03/18 23:29
31,delivered,189.9,17.03,1,Maua,SP,93,58,317,3,4,10/08/17 11:58,12/08/17 2:45,18/08/17 14:28
32,delivered,210,5.73,1,Itaborai,RJ,248,61,398,1,5,16/04/18 21:15,16/04/18 22:10,05/05/18 12:28
33,delivered,157,33.55,1,Jaguaribe,CE,634,56,1070,2,5,12/12/17 13:56,14/12/17 13:54,03/01/18 18:03
34,delivered,151,42.71,1,Sao Jose dos Campos,SP,122,58,1823,1,5,03/02/18 12:38,03/02/18 12:50,22/02/18 0:07
35,delivered,105,21.22,1,Foz do Iguacu,PR,858,55,60,1,5,29/07/18 23:34,29/07/18 23:45,31/07/18 22:48
36,delivered,24.9,14.1,1,Florianopolis,SC,880,43,1858,1,2,17/02/18 15:59,17/02/18 16:15,20/03/18 0:59
37,delivered,25.9,35.67,1,Fortaleza,CE,603,41,923,4,5,21/02/18 18:15,23/02/18 2:10,13/03/18 23:58
38,delivered,120,14.59,1,Itatiba,SP,132,30,2299,1,1,31/07/17 21:37,02/08/17 2:56,08/08/17 21:24
39,delivered,44.99,15.11,1,Sao Paulo,SP,43,57,1532,2,5,01/06/18 12:23,05/06/18 3:35,18/06/18 21:32
40,delivered,97.9,17.94,1,Petropolis,RJ,256,60,390,7,4,26/03/18 17:12,26/03/18 17:28,05/04/18 22:11
41,delivered,84.9,19.83,1,Jaragua do Sul,SC,892,45,573,1,4,19/05/17 18:53,19/05/17 19:05,31/05/17 13:58
42,delivered,59,20.81,1,Nova Iguacu,RJ,260,16,347,1,5,24/11/17 21:27,25/11/17 0:21,28/12/17 18:59
43,delivered,99,18.27,1,Itaquaquecetuba,SP,85,47,484,1,4,04/08/17 17:10,04/08/17 17:25,12/08/17 14:08
44,delivered,49.99,9.34,1,Sao Paulo,SP,57,42,790,1,5,04/08/18 23:25,04/08/18 23:35,13/08/18 23:34
45,delivered,69.49,13.61,1,Sao Bernardo do Campo,SP,98,39,604,4,4,04/06/18 16:44,05/06/18 4:31,05/06/18 4:31
